PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31;TECNICA;ENVIADO
LUGO;SAVIÑAO (O);999;MONOXIDO DE NITROGENO;27058999_7_8;2019;2;0;13;V;0;23;V;0;30;V;0;20;V;0;27;V;N;0;20;V;0;24;V;0;20;V;0;23;V;0;34;V;0;43;V;0;45;V;0;40;V;0;37;V;0;41;V;0;38;V;0;44;V;0;30;V;0;560;V;N;N;N;N;N;0
LUGO;SAVIÑAO (O);999;DIOXIDO DE NITROGENO;27058999_8_8;2019;2;1;90;V;2;80;V;3;20;V;4;90;V;5;20;V;N;2;V;2;80;V;1;90;V;0;70;V;1;60;V;2;40;V;2;40;V;2;60;V;2;50;V;2;90;V;2;60;V;1;50;V;3;V;7;30;V;N;N;N;N;N;3;40;V
LUGO;SAVIÑAO (O);999;PARTICULAS EN SUSPENSION <10?M;27058999_10_47;2019;2;6;90;V;6;60;V;6;70;V;7;30;V;6;10;V;N;6;30;V;6;40;V;4;50;V;6;70;V;6;80;V;6;90;V;6;50;V;7;50;V;9;30;V;9;90;V;13;V;N;N;14;V;31;V;34;V;25;V;16;V;14;V;14;V
LUGO;SAVIÑAO (O);999;OZONO;27058999_14_6;2019;2;85;V;64;V;46;V;45;V;48;V;N;60;V;59;V;62;V;68;V;51;V;53;V;64;V;72;V;71;V;67;V;74;V;59;V;45;V;49;V;67;V;77;V;67;V;60;V;69;V;78;V;83;V;67;V;N;N;N;C;;;;;
ASTURIAS;LLANES;999;DIOXIDO DE AZUFRE;33036999_1_38;2019;2;0;38;V;0;35;V;0;62;V;1;30;V;1;20;V;0;67;V;0;89;V;1;V;0;62;V;0;44;V;0;84;V;1;20;V;1;10;V;N;3;90;V;2;20;V;2;V;0;29;V;0;52;V;0;47;V;0;92;V;2;60;V;3;50
ASTURIAS;LLANES;999;MONOXIDO DE NITROGENO;33036999_7_8;2019;2;0;40;V;0;30;V;0;39;V;1;10;V;0;94;V;1;20;V;0;50;V;1;V;0;67;V;0;39;V;0;55;V;1;V;1;V;N;0;85;V;0;70;V;0;63;V;0;55;V;0;59;V;0;82;V;0;75;V;2;30;V;1;80;V
ASTURIAS;LLANES;999;DIOXIDO DE NITROGENO;33036999_8_8;2019;2;2;50;V;1;V;1;30;V;6;10;V;3;50;V;6;V;3;80;V;2;90;V;1;80;V;1;10;V;1;90;V;3;50;V;4;20;V;N;3;70;V;2;50;V;2;90;V;1;40;V;2;40;V;2;V;2;60;V;8;V;6;30;V;1
ASTURIAS;LLANES;999;OZONO;33036999_14_6;2019;2;102;V;97;V;90;V;82;V;79;V;70;V;86;V;83;V;82;V;98;V;98;V;87;V;76;V;N;88;V;83;V;87;V;84;V;77;V;66;V;76;V;78;V;85;V;82;V;0;61;V;60;V;92;V;92;V;N;N;N;C;;;;
TOLEDO;SAN PABLO DE LOS MONTES;999;DIOXIDO DE AZUFRE;45153999_1_38;2019;2;0;12;V;0;10;V;0;15;V;0;19;V;0;21;V;0;16;V;0;20;V;0;18;V;0;11;V;0;10;V;0;16;V;0;19;V;0;32;V;0;36;V;0;24;V;0;20;V;0;75;V;0;38;V;0;33;V;0;20;V;0;29;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;MONOXIDO DE NITROGENO;45153999_7_8;2019;2;0;470;V;0;870;V;0;830;V;0;690;V;0;15;V;0;11;V;0;10;V;0;560;V;0;7;V;0;660;V;0;10;V;0;18;V;0;11;V;0;20;V;0;15;V;0;20;V;0;830;V;0;26;V;0;42;V;0;24;V;0;610;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;DIOXIDO DE NITROGENO;45153999_8_8;2019;2;0;28;V;0;61;V;0;70;V;0;69;V;1;30;V;0;94;V;0;86;V;0;46;V;0;51;V;0;45;V;1;30;V;1;80;V;1;70;V;1;60;V;1;30;V;1;60;V;0;77;V;1;70;V;2;70;V;1;60;V;0;68;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;OZONO;45153999_14_6;2019;2;81;V;78;V;73;V;75;V;74;V;71;V;74;V;76;V;75;V;70;V;77;V;77;V;81;V;76;V;82;V;73;V;85;V;78;V;72;V;72;V;89;V;87;V;91;V;88;V;97;V;94;V;98;V;102;V;N;N;N;C;;;;
VALENCIA;ZARRA;999;DIOXIDO DE AZUFRE;46263999_1_38;2019;2;0;58;V;0;62;V;0;64;V;0;69;V;0;70;V;0;70;V;0;78;V;0;87;V;0;81;V;0;69;V;0;65;V;0;70;V;0;68;V;0;66;V;0;63;V;0;71;V;0;85;V;0;69;V;0;68;V;0;66;V;0;69;V;0
VALENCIA;ZARRA;999;MONOXIDO DE NITROGENO;46263999_7_8;2019;2;0;780;V;0;13;V;0;730;V;0;20;V;0;21;V;0;19;V;0;20;V;0;19;V;0;11;V;0;710;V;0;10;V;0;10;V;0;12;V;0;15;V;0;11;V;0;12;V;0;11;V;0;18;V;0;820;V;0;620;V;0;960;V;0
VALENCIA;ZARRA;999;DIOXIDO DE NITROGENO;46263999_8_8;2019;2;1;10;V;1;40;V;1;20;V;3;20;V;4;V;3;20;V;4;20;V;4;V;3;40;V;2;60;V;2;20;V;2;80;V;3;40;V;2;80;V;4;20;V;3;30;V;3;10;V;4;V;3;60;V;3;80;V;4;30;V;2;70;V;3
VALENCIA;ZARRA;999;PARTICULAS EN SUSPENSION <10?M;46263999_10_47;2019;2;N;4;60;V;4;30;V;5;20;V;5;50;V;5;90;V;10;V;12;V;11;V;11;V;11;V;11;V;14;V;11;V;16;V;13;V;14;V;18;V;17;V;19;V;21;V;23;V;29;V;22;V;15;V;11;V;7;90;V;14;V;N;N;N
VALENCIA;ZARRA;999;OZONO;46263999_14_6;2019;2;85;V;88;V;82;V;73;V;69;V;63;V;75;V;78;V;81;V;81;V;76;V;90;V;90;V;96;V;91;V;99;V;98;V;95;V;105;V;102;V;99;V;91;V;92;V;106;V;108;V;106;V;100;V;99;V;N;N;N;C;;;;
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE AZUFRE;49149999_1_38;2019;2;0;20;V;0;24;V;0;29;V;0;35;V;0;34;V;0;28;V;0;37;V;0;27;V;0;24;V;0;24;V;0;24;V;0;28;V;0;36;V;0;43;V;0;41;V;0;36;V;0;34;V;0;35;V;0;25;V;0;22;V;0;25;V;0
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE NITROGENO;49149999_8_8;2019;2;0;48;V;0;79;V;0;88;V;1;V;0;91;V;0;83;V;1;40;V;1;10;V;0;90;V;0;77;V;1;80;V;1;90;V;1;50;V;4;20;V;2;30;V;3;80;V;1;10;V;1;20;V;1;90;V;1;V;1;10;V;1;40;V
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE NITROGENO;19061999_8_8;2019;2;0;88;V;2;50;V;1;V;1;20;V;1;30;V;1;40;V;2;10;V;7;50;V;5;80;V;2;60;V;1;30;V;1;10;V;1;60;V;1;80;V;2;20;V;2;V;1;60;V;2;40;V;2;90;V;4;V;4;30;V;2;50;V;2
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE AZUFRE;19061999_1_38;2019;2;0;76;V;0;89;V;0;90;V;0;95;V;0;89;V;0;90;V;0;95;V;0;98;V;0;96;V;0;82;V;0;85;V;0;89;V;0;94;V;0;98;V;0;96;V;0;99;V;1;10;V;0;77;V;0;38;V;0;26;V;0;21;V;0
ZAMORA;PEÑAUSENDE;999;OZONO;49149999_14_6;2019;2;81;V;69;V;68;V;72;V;69;V;69;V;74;V;68;V;64;V;58;V;69;V;63;V;79;V;68;V;77;V;56;V;76;V;71;V;49;V;69;V;78;V;78;V;80;V;72;V;75;V;80;V;88;V;80;V;N;N;N;C;;;;
GIRONA;CADAQUES;999;DIOXIDO DE AZUFRE;17032999_1_38;2019;2;0;46;V;0;41;V;0;47;V;0;51;V;0;52;V;0;49;V;0;48;V;0;51;V;0;47;V;0;50;V;0;42;V;0;48;V;0;48;V;0;66;V;0;76;V;0;60;V;0;54;V;0;47;V;0;47;V;0;52;V;0;57;V;0
ZAMORA;PEÑAUSENDE;999;MONOXIDO DE NITROGENO;49149999_7_8;2019;2;0;420;V;0;350;V;0;270;V;0;410;V;0;450;V;0;480;V;0;730;V;0;450;V;0;3;V;0;310;V;0;450;V;0;10;V;0;690;V;0;43;V;0;890;V;0;39;V;0;360;V;0;520;V;0;990;V;0;470;V;0;13;V;0
ZAMORA;PEÑAUSENDE;999;PARTICULAS EN SUSPENSION <10?M;49149999_10_47;2019;2;6;10;V;8;20;V;6;10;V;8;60;V;8;90;V;6;90;V;14;V;9;20;V;6;30;V;6;20;V;8;70;V;5;80;V;11;V;15;V;14;V;22;V;18;V;25;V;9;90;V;27;V;46;V;37;V;41;V;33;V;19;V;20;V
GIRONA;CADAQUES;999;DIOXIDO DE NITROGENO;17032999_8_8;2019;2;5;90;V;2;30;V;2;V;2;40;V;5;50;V;5;60;V;6;30;V;6;60;V;4;V;4;40;V;2;10;V;2;60;V;3;80;V;6;V;6;90;V;5;10;V;2;70;V;2;10;V;2;30;V;2;90;V;5;50;V;3;10;V;3
CORUÑA;NOIA;999;OZONO;15057999_14_6;2019;2;73;V;64;V;66;V;60;V;60;V;62;V;66;V;62;V;64;V;68;V;71;V;75;V;86;V;82;V;78;V;81;V;73;V;69;V;69;V;75;V;69;V;73;V;72;V;74;V;81;V;94;V;76;V;70;V;N;N;N;C;;;;
LLEIDA;TORMS (ELS);999;DIOXIDO DE NITROGENO;25224999_8_8;2019;2;2;10;V;1;30;V;0;96;V;1;80;V;3;40;V;3;50;V;4;30;V;4;20;V;4;30;V;2;70;V;2;V;2;40;V;3;50;V;2;70;V;4;50;V;3;20;V;2;10;V;2;80;V;4;30;V;3;90;V;5;V;5;10;V
BALEARES;MAHON;999;OZONO;07032999_14_6;2019;2;77;V;83;V;87;V;85;V;74;V;77;V;82;V;81;V;92;V;88;V;91;V;79;V;79;V;87;V;83;V;87;V;95;V;93;V;91;V;82;V;78;V;75;V;88;V;92;V;98;V;92;V;82;V;87;V;N;N;N;C;;;;
LLEIDA;TORMS (ELS);999;OZONO;25224999_14_6;2019;2;74;V;79;V;75;V;69;V;60;V;51;V;54;V;62;V;63;V;70;V;77;V;67;V;70;V;80;V;78;V;85;V;88;V;86;V;84;V;68;V;67;V;71;V;77;V;86;V;86;V;82;V;84;V;87;V;N;N;N;C;;;;
CORUÑA;NOIA;999;MONOXIDO DE NITROGENO;15057999_7_8;2019;2;0;11;V;0;16;V;0;58;V;0;15;V;0;16;V;0;14;V;0;13;V;0;14;V;0;12;V;0;12;V;0;45;V;0;38;V;N;0;22;V;0;21;V;0;16;V;0;14;V;0;43;V;0;26;V;0;23;V;0;44;V;0;27;V
BADAJOZ;BARCARROTA;999;DIOXIDO DE NITROGENO;06016999_8_8;2019;2;0;41;V;0;66;V;0;90;V;1;70;V;1;80;V;1;50;V;1;30;V;1;10;V;0;98;V;0;83;V;N;1;40;V;1;20;V;1;10;V;1;40;V;1;60;V;0;94;V;1;50;V;1;30;V;1;50;V;1;30;V;1;30;V
BADAJOZ;BARCARROTA;999;DIOXIDO DE AZUFRE;06016999_1_38;2019;3;0;36;V;0;43;V;0;42;V;0;45;V;0;38;V;0;50;V;0;23;V;0;26;V;0;26;V;0;35;V;0;32;V;0;37;V;0;31;V;0;35;V;0;34;V;0;31;V;0;26;V;0;25;V;0;21;V;0;18;V;0;29;V;0
BADAJOZ;BARCARROTA;999;OZONO;06016999_14_6;2019;3;46;V;38;V;51;V;56;V;59;V;62;V;48;V;54;V;50;V;41;V;39;V;49;V;69;V;77;V;75;V;74;V;57;V;62;V;73;V;78;V;69;V;82;V;88;V;71;V;63;V;79;V;80;V;86;V;96;V;82;V;56;V;C;
BALEARES;MAHON;999;DIOXIDO DE NITROGENO;07032999_8_8;2019;3;2;40;V;2;90;V;2;70;V;2;50;V;1;20;V;2;90;V;3;40;V;6;20;V;3;40;V;2;10;V;0;91;V;2;90;V;1;80;V;3;80;V;4;30;V;3;50;V;1;80;V;0;48;V;2;10;V;1;50;V;1;80;V;2
CORUÑA;NOIA;999;MONOXIDO DE NITROGENO;15057999_7_8;2019;3;0;13;V;0;17;V;0;13;V;0;12;V;0;12;V;0;11;V;0;11;V;0;18;V;0;15;V;0;16;V;0;21;V;0;11;V;0;19;V;0;24;V;0;53;V;0;29;V;0;14;V;0;23;V;0;18;V;0;23;V;0;12;V;0
CORUÑA;NOIA;999;OZONO;15057999_14_6;2019;3;60;V;61;V;60;V;73;V;63;V;69;V;69;V;69;V;46;V;56;V;76;V;69;V;69;V;74;V;81;V;82;V;71;V;72;V;71;V;70;V;73;V;84;V;92;V;94;V;81;V;82;V;94;V;84;V;84;V;100;V;102;V;C;
GIRONA;CADAQUES;999;DIOXIDO DE AZUFRE;17032999_1_38;2019;3;0;43;V;0;45;V;0;59;V;0;48;V;0;56;V;0;47;V;0;47;V;0;52;V;0;63;V;0;54;V;0;41;V;0;51;V;0;46;V;0;49;V;0;46;V;0;58;V;0;42;V;0;44;V;0;46;V;0;49;V;0;65;V;0
GIRONA;CADAQUES;999;MONOXIDO DE NITROGENO;17032999_7_8;2019;3;0;20;V;0;23;V;0;24;V;0;18;V;0;23;V;0;22;V;0;15;V;0;44;V;0;26;V;0;29;V;0;16;V;0;24;V;0;17;V;0;19;V;0;22;V;0;25;V;0;22;V;0;16;V;0;17;V;0;21;V;0;39;V;0
GIRONA;CADAQUES;999;DIOXIDO DE NITROGENO;17032999_8_8;2019;3;3;V;2;70;V;5;10;V;3;V;2;60;V;3;40;V;2;20;V;3;80;V;4;70;V;2;60;V;1;80;V;2;90;V;1;40;V;1;70;V;2;V;3;90;V;2;60;V;1;50;V;1;60;V;2;60;V;3;70;V;5;80;V;3
GRANADA;VIZNAR;999;MONOXIDO DE NITROGENO;18189999_7_8;2019;3;0;66;V;2;40;V;0;39;V;0;70;V;0;39;V;0;25;V;0;41;V;1;50;V;0;53;V;0;62;V;1;20;V;0;44;V;0;75;V;1;80;V;0;69;V;0;55;V;0;38;V;0;80;V;0;11;V;0;71;V;0;26;V;0
GRANADA;VIZNAR;999;DIOXIDO DE NITROGENO;18189999_8_8;2019;3;9;20;V;6;30;V;2;10;V;2;90;V;3;20;V;3;80;V;4;40;V;3;60;V;2;20;V;2;60;V;5;V;2;80;V;3;10;V;4;90;V;4;V;3;30;V;1;60;V;4;30;V;0;97;V;6;30;V;1;60;V;3;20;V
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE AZUFRE;19061999_1_38;2019;3;0;30;V;0;19;V;0;17;V;0;27;V;0;25;V;0;22;V;0;35;V;0;33;V;0;34;V;0;30;V;0;27;V;0;37;V;0;33;V;0;40;V;0;47;V;0;47;V;0;55;V;N;0;39;V;0;38;V;0;39;V;0;59;V
GUADALAJARA;CAMPISABALOS;999;MONOXIDO DE NITROGENO;19061999_7_8;2019;3;0;710;V;0;550;V;0;11;V;0;570;V;0;14;V;0;12;V;0;710;V;0;660;V;0;540;V;0;20;V;0;590;V;0;630;V;0;7;V;0;510;V;0;830;V;0;790;V;0;550;V;N;0;13;V;0;12;V;0;12;V;0;11;V
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE NITROGENO;19061999_8_8;2019;3;3;10;V;3;20;V;2;50;V;2;V;2;80;V;2;20;V;2;40;V;2;30;V;2;70;V;3;20;V;3;40;V;2;10;V;2;10;V;1;90;V;2;40;V;2;50;V;2;10;V;N;1;40;V;1;50;V;2;20;V;2;50;V;2
GUADALAJARA;CAMPISABALOS;999;PARTICULAS EN SUSPENSION <10?M;19061999_10_47;2019;3;19;V;13;V;11;V;9;40;V;12;V;N;8;V;5;50;V;5;60;V;6;90;V;6;70;V;7;40;V;6;V;7;80;V;9;80;V;8;30;V;35;V;N;4;20;V;6;10;V;9;70;V;14;V;20;V;15;V;13;V;11;V;10;V
HUELVA;ALMONTE;999;OZONO;21005999_14_6;2019;3;58;V;54;V;57;V;57;V;52;V;73;V;69;V;63;V;62;V;67;V;45;V;76;V;66;V;77;V;75;V;73;V;55;V;65;V;61;V;71;V;76;V;86;V;83;V;72;V;65;V;86;V;93;V;89;V;86;V;82;V;76;V;C;
LLEIDA;TORMS (ELS);999;MONOXIDO DE NITROGENO;25224999_7_8;2019;3;0;17;V;0;16;V;0;14;V;0;14;V;0;14;V;0;16;V;0;18;V;0;17;V;0;17;V;0;18;V;0;14;V;0;17;V;0;16;V;0;16;V;0;19;V;0;17;V;0;15;V;0;15;V;0;14;V;0;17;V;0;16;V;0
LLEIDA;TORMS (ELS);999;DIOXIDO DE NITROGENO;25224999_8_8;2019;3;3;60;V;2;70;V;2;60;V;2;50;V;2;80;V;2;50;V;1;60;V;2;20;V;2;V;1;60;V;1;60;V;2;60;V;1;70;V;1;40;V;1;90;V;1;80;V;1;30;V;0;88;V;1;V;1;80;V;3;30;V;5;10;V
LLEIDA;TORMS (ELS);999;OZONO;25224999_14_6;2019;3;87;V;82;V;84;V;82;V;84;V;76;V;78;V;75;V;72;V;60;V;83;V;86;V;84;V;82;V;88;V;95;V;91;V;88;V;88;V;85;V;88;V;95;V;101;V;98;V;100;V;93;V;94;V;102;V;111;V;100;V;78;V;C;
LUGO;SAVIÑAO (O);999;DIOXIDO DE AZUFRE;27058999_1_38;2019;3;0;34;V;0;31;V;0;30;V;0;41;V;0;42;V;0;42;V;0;44;V;0;39;V;0;50;V;0;41;V;0;47;V;0;49;V;0;62;V;0;88;V;0;91;V;0;74;V;0;59;V;0;55;V;0;59;V;0;48;V;0;61;V;0
LUGO;SAVIÑAO (O);999;MONOXIDO DE NITROGENO;27058999_7_8;2019;3;0;54;V;0;42;V;0;38;V;0;41;V;0;49;V;0;50;V;0;29;V;0;28;V;0;42;V;0;33;V;0;27;V;0;43;V;0;40;V;0;48;V;0;39;V;0;39;V;0;32;V;0;45;V;0;50;V;0;51;V;0;46;V;0
LUGO;SAVIÑAO (O);999;DIOXIDO DE NITROGENO;27058999_8_8;2019;3;2;90;V;2;60;V;1;10;V;1;10;V;1;40;V;1;20;V;2;50;V;2;V;3;30;V;1;20;V;1;70;V;2;90;V;1;80;V;2;10;V;3;V;3;20;V;1;20;V;1;60;V;1;40;V;1;80;V;2;90;V;3;80;V
LUGO;SAVIÑAO (O);999;OZONO;27058999_14_6;2019;3;53;V;58;V;66;V;80;V;65;V;78;V;64;V;64;V;45;V;50;V;65;V;59;V;62;V;64;V;66;V;79;V;78;V;71;V;73;V;67;V;65;V;79;V;82;V;84;V;75;V;76;V;75;V;75;V;73;V;94;V;89;V;C;
ASTURIAS;LLANES;999;DIOXIDO DE AZUFRE;33036999_1_38;2019;3;0;39;V;1;50;V;2;V;0;59;V;0;58;V;0;24;V;0;34;V;0;54;V;0;47;V;0;22;V;0;16;V;0;45;V;0;27;V;0;40;V;0;40;V;0;53;V;0;34;V;0;25;V;0;39;V;0;48;V;0;66;V;0;84
ASTURIAS;LLANES;999;DIOXIDO DE NITROGENO;33036999_8_8;2019;3;1;40;V;3;70;V;4;90;V;2;10;V;2;50;V;1;40;V;1;20;V;2;30;V;1;20;V;1;70;V;1;70;V;1;70;V;1;V;1;70;V;1;20;V;2;80;V;1;10;V;0;93;V;1;50;V;1;50;V;1;60;V;2;V
ASTURIAS;LLANES;999;OZONO;33036999_14_6;2019;3;83;V;77;V;76;V;89;V;78;V;78;V;82;V;79;V;57;V;64;V;83;V;81;V;85;V;85;V;89;V;80;V;87;V;85;V;83;V;87;V;93;V;91;V;98;V;105;V;88;V;94;V;96;V;98;V;96;V;97;V;96;V;C;
TOLEDO;SAN PABLO DE LOS MONTES;999;DIOXIDO DE AZUFRE;45153999_1_38;2019;3;0;57;V;0;45;V;0;67;V;0;19;V;0;12;V;0;10;V;0;14;V;0;12;V;0;26;V;0;20;V;0;27;V;0;50;V;0;15;V;0;26;V;0;41;V;0;45;V;0;35;V;0;28;V;0;27;V;0;28;V;0;35;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;DIOXIDO DE NITROGENO;45153999_8_8;2019;3;1;40;V;0;77;V;0;50;V;0;40;V;0;42;V;0;42;V;0;43;V;0;68;V;0;86;V;0;71;V;1;20;V;0;67;V;1;10;V;1;20;V;1;10;V;0;81;V;0;56;V;1;90;V;2;20;V;0;78;V;0;74;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;OZONO;45153999_14_6;2019;3;96;V;86;V;95;V;79;V;80;V;78;V;83;V;78;V;92;V;79;V;70;V;85;V;80;V;90;V;101;V;98;V;92;V;89;V;88;V;92;V;101;V;108;V;98;V;94;V;101;V;98;V;103;V;113;V;112;V;101;V;83;V;C;
VALENCIA;ZARRA;999;DIOXIDO DE AZUFRE;46263999_1_38;2019;3;0;94;V;0;84;V;0;77;V;0;75;V;0;64;V;0;68;V;0;64;V;0;70;V;0;73;V;0;72;V;0;81;V;0;77;V;0;69;V;0;67;V;0;81;V;1;10;V;0;96;V;0;72;V;0;71;V;0;64;V;0;63;V;0
VALENCIA;ZARRA;999;DIOXIDO DE NITROGENO;46263999_8_8;2019;3;4;80;V;4;10;V;2;70;V;2;50;V;2;30;V;2;50;V;2;V;2;40;V;2;50;V;2;90;V;3;40;V;2;70;V;2;50;V;1;70;V;3;V;3;20;V;2;50;V;2;70;V;2;V;2;40;V;4;40;V;4;20;V;3
VALENCIA;ZARRA;999;PARTICULAS EN SUSPENSION <10?M;46263999_10_47;2019;3;19;V;15;V;12;V;12;V;6;10;V;9;30;V;7;50;V;11;V;10;V;6;80;V;11;V;11;V;7;50;V;5;70;V;10;V;14;V;20;V;13;V;6;70;V;8;20;V;11;V;14;V;19;V;N;N;18;V;14;V;14;V;14;V
VALENCIA;ZARRA;999;OZONO;46263999_14_6;2019;3;98;V;84;V;88;V;85;V;71;V;78;V;88;V;90;V;99;V;81;V;78;V;89;V;82;V;91;V;88;V;96;V;105;V;93;V;93;V;98;V;109;V;118;V;121;V;116;V;128;V;118;V;122;V;125;V;130;V;123;V;106;V;C;
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE AZUFRE;49149999_1_38;2019;3;0;38;V;0;26;V;0;29;V;0;23;V;0;26;V;0;23;V;0;24;V;0;24;V;0;26;V;0;23;V;0;20;V;0;29;V;0;23;V;N;0;39;V;0;43;V;0;29;V;0;27;V;0;34;V;0;32;V;0;33;V;0;36;V
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE NITROGENO;49149999_8_8;2019;3;1;60;V;1;20;V;0;87;V;0;64;V;0;97;V;0;56;V;0;84;V;0;79;V;0;90;V;0;94;V;1;70;V;1;30;V;0;99;V;N;1;20;V;0;81;V;0;80;V;1;20;V;1;40;V;1;30;V;1;30;V;1;90;V
BADAJOZ;BARCARROTA;999;MONOXIDO DE NITROGENO;06016999_7_8;2019;3;0;42;V;0;57;V;0;38;V;0;32;V;0;32;V;0;45;V;0;43;V;0;32;V;0;37;V;0;37;V;0;32;V;0;47;V;0;28;V;0;30;V;0;40;V;0;33;V;0;31;V;0;33;V;0;30;V;0;27;V;0;50;V;0
HUELVA;ALMONTE;999;DIOXIDO DE AZUFRE;21005999_1_38;2019;3;1;20;V;0;47;V;0;36;V;0;32;V;0;30;V;0;55;V;0;42;V;0;27;V;0;25;V;0;45;V;0;44;V;0;55;V;0;25;V;0;30;V;0;37;V;0;71;V;0;35;V;0;32;V;0;30;V;0;29;V;0;26;V;0
GRANADA;VIZNAR;999;OZONO;18189999_14_6;2019;3;95;V;87;V;105;V;91;V;67;V;75;V;76;V;78;V;87;V;94;V;83;V;85;V;83;V;91;V;103;V;93;V;96;V;78;V;84;V;80;V;100;V;100;V;95;V;88;V;91;V;101;V;109;V;108;V;110;V;98;V;72;V;C;
VALENCIA;ZARRA;999;MONOXIDO DE NITROGENO;46263999_7_8;2019;3;0;13;V;0;11;V;0;10;V;0;850;V;0;750;V;0;12;V;0;11;V;0;10;V;0;860;V;0;10;V;0;12;V;0;11;V;0;15;V;0;8;V;0;12;V;0;11;V;0;790;V;0;850;V;0;640;V;0;880;V;0;13;V;0
GRANADA;VIZNAR;999;DIOXIDO DE AZUFRE;18189999_1_38;2019;3;1;10;V;0;90;V;0;52;V;0;61;V;0;40;V;0;76;V;0;61;V;0;62;V;0;57;V;0;58;V;0;63;V;0;63;V;0;51;V;0;70;V;0;79;V;0;72;V;0;40;V;0;54;V;0;41;V;0;56;V;0;58;V;0
BALEARES;MAHON;999;MONOXIDO DE NITROGENO;07032999_7_8;2019;3;0;11;V;0;11;V;0;14;V;0;11;V;0;10;V;0;14;V;0;33;V;0;48;V;0;69;V;0;16;V;0;980;V;0;34;V;0;10;V;0;20;V;0;45;V;0;34;V;0;20;V;0;960;V;0;27;V;0;11;V;0;10;V;0
ZAMORA;PEÑAUSENDE;999;MONOXIDO DE NITROGENO;49149999_7_8;2019;3;0;850;V;0;820;V;0;440;V;0;340;V;0;330;V;0;410;V;0;360;V;0;410;V;0;510;V;0;510;V;0;830;V;0;580;V;0;330;V;N;0;12;V;0;350;V;0;590;V;0;620;V;0;780;V;0;790;V;0;11;V;0;14;V
CORUÑA;NOIA;999;DIOXIDO DE NITROGENO;15057999_8_8;2019;3;1;50;V;2;V;1;70;V;1;90;V;2;90;V;1;20;V;1;30;V;1;80;V;1;70;V;1;50;V;2;V;1;40;V;1;70;V;1;70;V;3;10;V;3;60;V;2;10;V;2;70;V;2;80;V;3;80;V;6;90;V;7;90;V
BADAJOZ;BARCARROTA;999;DIOXIDO DE NITROGENO;06016999_8_8;2019;3;1;30;V;1;50;V;1;V;0;87;V;0;82;V;0;45;V;0;76;V;0;93;V;1;20;V;1;30;V;1;40;V;1;50;V;1;20;V;1;80;V;2;40;V;2;V;1;50;V;1;30;V;1;50;V;1;50;V;2;30;V;2;20;V
GIRONA;CADAQUES;999;OZONO;17032999_14_6;2019;3;88;V;83;V;87;V;84;V;83;V;81;V;84;V;73;V;84;V;61;V;83;V;87;V;79;V;85;V;80;V;88;V;80;V;83;V;79;V;85;V;95;V;100;V;104;V;98;V;92;V;82;V;93;V;97;V;102;V;105;V;95;V;C;
TOLEDO;SAN PABLO DE LOS MONTES;999;MONOXIDO DE NITROGENO;45153999_7_8;2019;3;0;18;V;0;880;V;0;6;V;0;770;V;0;630;V;0;470;V;0;680;V;0;10;V;0;9;V;0;890;V;0;19;V;0;830;V;0;10;V;0;760;V;0;11;V;0;840;V;0;570;V;0;14;V;0;24;V;0;970;V;0;780;V;0
LLEIDA;TORMS (ELS);999;DIOXIDO DE AZUFRE;25224999_1_38;2019;3;1;10;V;1;V;0;95;V;0;91;V;1;10;V;0;82;V;0;72;V;0;78;V;0;96;V;0;90;V;0;82;V;0;92;V;0;68;V;0;69;V;0;94;V;0;97;V;0;99;V;0;74;V;0;79;V;0;85;V;0;93;V;1;10
BALEARES;MAHON;999;OZONO;07032999_14_6;2019;3;78;V;83;V;81;V;102;V;87;V;87;V;71;V;71;V;80;V;86;V;86;V;84;V;84;V;80;V;80;V;76;V;95;V;94;V;92;V;98;V;106;V;105;V;114;V;102;V;N;98;V;100;V;110;V;107;V;107;V;118;V;C;;
LUGO;SAVIÑAO (O);999;PARTICULAS EN SUSPENSION <10?M;27058999_10_47;2019;3;6;70;V;6;10;V;5;70;V;9;50;V;5;80;V;N;N;6;90;V;7;10;V;4;70;V;6;90;V;6;60;V;6;30;V;9;50;V;8;80;V;11;V;7;40;V;7;50;V;5;70;V;5;80;V;7;90;V;9;40;V;11;V;12
